iyear,imonth,iday,extended,region,provstate,city,vicinity,crit1,crit2,crit3,doubtterr,multiple,success,suicide,attacktype1,targtype1,targsubtype1,corp1,target1,natlty1,guncertain1,nperps,nperpcap,claimed,claimmode,compclaim,weaptype1,weapsubtype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,ishostkid,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,gname
2014,5,24,0,11,0,0,0,1,1,0,1,0,1,0,2,4,34,0,0,69,0,20,0,0,10,0,6,11,0,0,0,5,0,4,0,4,0,0,1,1,1,101
2014,8,19,0,10,0,0,0,1,1,1,0,0,1,0,3,14,75,0,0,113,0,-99,0,0,10,0,6,11,0,0,0,0,0,0,-9,4,0,-9,-9,0,-9,0
2012,10,8,0,6,0,0,0,1,1,1,0,0,1,0,2,3,25,0,0,4,0,-99,0,1,8,0,5,5,5,0,5,0,0,0,0,4,0,0,0,0,0,5
2014,5,27,0,11,0,0,0,1,1,0,1,1,1,0,2,4,27,0,0,422,0,-99,0,1,8,0,5,5,40,0,12,0,0,0,1,4,0,0,1,1,1,4
2014,12,2,0,11,0,0,1,1,1,1,0,0,1,0,6,14,69,0,0,104,0,-99,0,1,8,0,5,5,36,0,0,0,0,0,0,4,1,1,1,0,1,4
2014,2,20,0,10,0,0,0,1,1,1,0,0,1,0,2,8,50,0,0,113,1,-99,0,0,10,0,5,5,1,0,0,0,0,0,0,4,0,-9,-9,0,-9,60
2012,12,31,0,10,0,0,0,1,1,1,0,1,1,0,2,3,25,0,0,95,0,-99,18,0,10,0,5,5,3,0,0,0,0,0,0,4,0,0,0,0,0,17
2013,1,16,0,10,0,0,1,1,1,1,0,1,1,0,2,3,23,0,0,95,0,-99,0,1,7,0,5,5,3,0,0,0,0,0,1,3,0,0,0,0,0,17
2014,5,11,0,5,0,0,0,1,1,1,0,1,1,0,3,1,7,0,0,205,1,-99,0,0,10,0,6,16,1,0,0,1,0,0,-9,4,0,-9,-9,0,-9,57
2014,2,4,0,6,0,0,0,1,1,1,0,0,1,0,3,21,106,0,0,153,1,-99,0,0,10,0,6,16,0,0,0,0,0,0,1,4,0,-9,-9,0,-9,57
2013,4,7,1,5,0,0,0,1,1,1,0,0,1,0,6,1,7,0,0,160,0,5,0,0,10,0,5,5,0,0,0,0,0,0,0,4,1,0,0,0,0,10
2013,5,27,0,3,0,0,0,1,1,1,0,0,1,0,7,19,99,0,0,45,0,-99,0,0,10,0,5,5,0,0,0,0,0,0,1,3,0,0,0,0,0,7
2014,9,17,0,11,0,0,0,1,1,1,0,1,1,0,2,14,75,0,0,147,0,-99,0,0,10,0,5,5,12,0,0,41,0,0,1,3,0,-9,-9,0,-9,81
2011,11,5,0,5,0,0,0,1,1,1,0,0,1,0,7,14,73,0,0,160,1,80,0,0,10,0,8,18,0,0,0,0,0,0,1,4,0,0,0,0,0,3
2014,5,9,0,6,0,0,0,1,1,1,0,0,1,0,2,4,36,0,0,4,0,-99,0,1,10,0,5,5,7,0,6,29,0,18,1,4,0,0,0,0,0,5
2013,8,15,0,11,0,0,0,1,1,1,0,1,1,0,2,3,22,0,0,147,0,50,0,0,10,0,5,5,3,0,0,0,0,0,1,3,0,0,0,0,0,1
2014,7,8,0,10,0,0,0,1,1,1,0,0,1,0,9,8,50,0,0,228,0,-99,0,0,10,0,13,0,1,0,0,0,0,0,0,4,0,0,0,0,0,98
2013,12,7,0,10,0,0,0,1,1,1,0,1,1,0,3,15,86,0,0,228,0,-99,0,0,10,0,6,11,0,0,0,0,0,0,1,3,0,0,0,0,0,98
2013,11,22,0,6,0,0,0,1,1,1,0,0,1,0,2,10,0,0,0,4,0,-99,0,0,10,0,5,5,0,0,0,1,0,0,1,3,0,0,0,0,0,5
2013,5,18,1,10,0,0,0,1,1,1,0,0,1,0,6,15,85,0,0,228,0,-99,0,0,10,0,5,5,0,0,0,1,0,0,0,4,1,0,0,0,0,98
2014,5,17,0,6,0,0,0,1,1,1,0,0,1,0,3,14,67,0,0,4,0,-99,0,0,10,0,6,15,1,0,0,12,0,0,-9,4,0,0,0,0,0,5
