iyear,imonth,iday,extended,region,provstate,city,vicinity,crit1,crit2,crit3,doubtterr,multiple,success,suicide,attacktype1,targtype1,targsubtype1,corp1,target1,natlty1,guncertain1,nperps,nperpcap,claimed,claimmode,compclaim,weaptype1,weapsubtype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,ishostkid,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,gname
2013,12,16,0,5,0,0,0,1,1,1,0,0,1,0,7,1,12,0,0,160,0,-99,0,0,10,0,5,5,0,0,0,0,0,0,1,3,0,0,0,0,0,3
2014,9,28,0,6,0,0,0,1,1,1,0,0,1,0,9,3,22,0,0,4,0,-99,0,1,7,0,13,0,4,0,4,0,0,2,0,4,0,0,0,0,0,5
2014,5,19,0,11,0,0,0,1,1,1,0,0,1,0,2,14,77,0,0,104,0,-99,0,1,10,0,5,5,12,0,0,0,0,0,1,3,0,1,1,0,1,4
2014,8,14,0,10,0,0,0,1,1,1,0,1,1,0,3,14,75,0,0,200,0,-99,0,0,10,0,6,11,0,0,0,0,0,0,1,3,0,-9,-9,0,-9,99
2014,5,22,0,10,0,0,0,1,1,0,1,0,1,0,2,4,36,0,0,228,0,6,0,0,10,0,5,5,4,0,4,2,0,2,0,4,0,0,1,0,1,12
2013,1,17,0,10,0,0,0,1,1,1,0,1,1,0,3,20,0,0,0,95,0,-99,0,1,7,0,6,16,0,0,0,0,0,0,0,4,0,0,0,0,0,17
2014,3,3,0,6,0,0,0,1,1,1,0,0,1,1,3,2,14,0,0,153,0,2,0,1,2,0,6,13,13,0,2,25,0,0,1,3,0,0,0,0,0,2
2011,2,19,0,6,0,0,0,1,1,1,0,0,1,0,3,8,49,0,0,153,1,-99,0,0,10,0,6,17,0,0,0,0,0,0,1,3,0,0,0,0,0,2
2012,3,12,0,8,0,0,0,1,1,1,0,0,1,0,7,15,85,0,0,21,0,1,1,1,8,0,8,20,1,0,0,1,0,0,1,3,0,-9,-9,0,-9,8
2014,12,6,0,5,0,0,0,1,1,1,0,0,0,0,6,4,39,0,0,160,0,4,0,0,10,0,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3
2014,5,2,1,9,0,0,0,1,1,1,0,0,1,0,6,14,84,0,0,214,0,-99,0,0,10,0,13,0,0,0,0,0,0,0,0,4,1,-9,-9,0,-9,112
2012,8,22,0,10,0,0,0,1,1,0,1,0,1,0,3,4,29,0,0,209,0,-99,0,0,10,0,6,8,21,0,16,5,0,0,1,4,0,0,0,0,0,28
2012,5,11,0,6,0,0,0,1,1,1,0,0,1,0,2,14,77,0,0,92,0,15,0,1,1,0,9,23,1,0,0,0,0,0,0,4,0,-9,-9,0,-9,52
2014,7,16,0,9,0,0,1,1,1,0,1,0,1,0,3,4,36,0,0,214,0,-99,0,0,10,0,6,11,0,0,0,3,0,0,1,4,0,-9,-9,0,-9,112
2014,10,15,0,9,0,0,0,1,1,0,1,0,1,0,3,4,34,0,0,214,0,-99,0,0,10,0,6,11,0,0,0,0,0,0,0,4,0,-9,-9,0,-9,112
2013,10,13,0,11,0,0,0,1,1,1,0,1,1,0,9,14,75,0,0,147,0,40,0,0,10,0,13,0,13,0,13,0,0,0,0,4,0,0,0,0,0,1
2012,1,10,0,6,0,0,0,1,1,1,0,0,1,1,3,3,25,0,0,4,0,4,0,1,4,0,6,13,10,0,3,3,0,0,1,3,0,0,0,0,0,5
2014,7,21,0,10,0,0,0,1,1,1,0,0,1,0,3,14,80,0,0,95,0,-99,0,0,10,0,6,16,0,0,0,0,0,0,1,3,0,-9,-9,0,-9,99
2013,1,10,0,10,0,0,0,1,1,1,0,0,1,0,1,14,77,0,0,228,1,4,0,0,10,0,5,5,1,0,0,2,0,0,0,4,0,0,1,0,1,12
